id,scrape_id,last_scraped,name,host_id,street,city,latitude,longitude,is_location_exact
3514344,2.02E+13,7/12/2018,Top Floor 2 BR w. Parking+Internet,17696368,"St Kilda, VIC, Australia",St Kilda,-37.86294202,144.9800057,t
3514345,2.02E+13,7/12/2018,Elegant St Kilda apartment opposite the beach,4588854,"St Kilda, VIC, Australia",St Kilda,-37.87038568,144.976176,f
3514607,2.02E+13,7/12/2018,Stunning Provincial 2BD Apartment,11501564,"Toorak, VIC, Australia",Toorak,-37.8454296,145.00702,t
3534015,2.02E+13,7/12/2018,Beauty Lake retreat,17793037,"Frankston, VIC, Australia",Frankston,-38.14796123,145.1221017,t
3537489,2.02E+13,7/12/2018,The Quiet Inner City Garden Apt,17809851,"Carlton South, VIC, Australia",Carlton South,-37.80592862,144.9672102,t
3537554,2.02E+13,7/12/2018,Home from home ,17439237,"Footscray, VIC, Australia",Footscray,-37.79568676,144.8895984,t
3537564,2.02E+13,7/12/2018,St Kilda Road Style,2492146,"South Melbourne, VIC, Australia",South Melbourne,-37.83427533,144.9703514,t
3544825,2.02E+13,7/12/2018,Close to the MCG! Richmond,17846714,"Richmond, VIC, Australia",Richmond,-37.82137479,144.9935842,t
3544842,2.02E+13,7/12/2018,Family resort style home with pool,829057,"Caulfield North, VIC, Australia",Caulfield North,-37.87059181,145.0197025,t
3545103,2.02E+13,7/12/2018,Stunning Modern Family Sanctuary on a Park,4391140,"Hampton East, VIC, Australia",Hampton East,-37.94143528,145.0285714,t
3547060,2.02E+13,7/12/2018,"Old world charm, cosy, clean,comfy",16080809,"Heidelberg, VIC, Australia",Heidelberg,-37.75291141,145.0664603,f
3554553,2.02E+13,7/12/2018,Stunning 1BR in Melbourne CBD,12813912,"Melbourne, VIC, Australia",Melbourne,-37.81395281,144.9602893,t
3555202,2.02E+13,7/12/2018,double bedroom in shared house,17901045,"Brunswick West, VIC, Australia",Brunswick West,-37.76600054,144.9461002,t
3556065,2.02E+13,7/12/2018,Bedroom in large loft with gym+pool,1420731,"East Melbourne, VIC, Australia",East Melbourne,-37.81080483,144.9861565,t
3556787,2.02E+13,7/12/2018,Studio Apartment in Melbourne City ,17906134,"Fawkner, VIC, Australia",Fawkner,-37.70022735,144.9667632,f
3558313,2.02E+13,7/12/2018,æ˜¯ä¸€ä¸ªåœ°æ®µéžå¸¸å¥½çš„åŒºäº¤é€šå•†åº—éƒ½å¾ˆæ–¹ä¾¿ï½¡,14169419,"South Yarra, VIC, Australia",South Yarra,-37.83885667,144.9933379,f
3566505,2.02E+13,7/12/2018,Bright Apartment  in Prime Location,17956774,"Melbourne, VIC, Australia",Melbourne,-37.81003494,144.9678225,t
3571746,2.02E+13,7/12/2018,Top Floor 1 BR Apartment With FREE WiFi & Parking,17986194,"St Kilda, VIC, Australia",St Kilda,-37.85365969,144.9750717,t
3571764,2.02E+13,7/12/2018,Private Sunny Bedroom with Extras!!,15119166,"Box Hill North, VIC, Australia",Box Hill North,-37.80422883,145.1316807,t
3572606,2.02E+13,7/12/2018,Lightbox Apartment in Collingwood,17990546,"Collingwood, VIC, Australia",Collingwood,-37.80022983,144.9939737,t
3578881,2.02E+13,7/12/2018,Tranquil spacious townhouse,13627627,"Brunswick, VIC, Australia",Brunswick,-37.77288611,144.9707237,t
3580785,2.02E+13,7/12/2018,$20/night if you book 7 night(girls shareroom),14967250,"Docklands, VIC, Australia",Docklands,-37.81367458,144.9447637,t
