,STOP_NAME,LATITUDE,LONGITUDE
391,Newmarket Railway Station (Flemington),-37.787328,144.928978
392,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451
393,Balaclava Railway Station (Balaclava),-37.869488,144.993512
394,North Melbourne Railway Station (West Melbourne),-37.807419,144.94257
395,West Richmond Railway Station (Richmond),-37.814949,144.991423
396,Thornbury Railway Station (Thornbury),-37.755052,144.998572
397,Windsor Railway Station (Windsor),-37.856053,144.992035
398,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
399,Hawksburn Railway Station (South Yarra),-37.844591,145.002142
400,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
401,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417
402,Balaclava Railway Station (Balaclava),-37.869488,144.993512
403,Balaclava Railway Station (Balaclava),-37.869488,144.993512
404,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
405,West Footscray Railway Station (West Footscray),-37.801803,144.883985
406,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417
407,Windsor Railway Station (Windsor),-37.856053,144.992035
408,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417
409,South Yarra Railway Station (South Yarra),-37.838449,144.992342
410,Richmond Railway Station (Richmond),-37.824074,144.990164
411,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
412,Moonee Ponds Railway Station (Moonee Ponds),-37.765707,144.919161
413,South Yarra Railway Station (South Yarra),-37.838449,144.992342
414,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
415,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
416,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
417,West Richmond Railway Station (Richmond),-37.814949,144.991423
418,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
419,Hawthorn Railway Station (Hawthorn),-37.821826,145.022899
420,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
421,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654
422,Elsternwick Railway Station (Elsternwick),-37.884753,145.000898
423,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
424,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
425,Jewell Railway Station (Brunswick),-37.774987,144.958717
426,Balaclava Railway Station (Balaclava),-37.869488,144.993512
427,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
428,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
429,Windsor Railway Station (Windsor),-37.856053,144.992035
430,Toorak Railway Station (Armadale),-37.850774,145.013909
431,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654
432,South Yarra Railway Station (South Yarra),-37.838449,144.992342
433,Alphington Railway Station (Alphington),-37.778394,145.031255
434,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417
435,McKinnon Railway Station (Mckinnon),-37.910309,145.038299
436,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417
437,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654
438,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654
439,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
440,South Yarra Railway Station (South Yarra),-37.838449,144.992342
441,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
442,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
443,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
444,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237
445,Parliament Railway Station (Melbourne City),-37.811054,144.972911
446,Richmond Railway Station (Richmond),-37.824074,144.990164
447,Windsor Railway Station (Windsor),-37.856053,144.992035
448,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098
449,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
450,Newmarket Railway Station (Flemington),-37.787328,144.928978
451,West Footscray Railway Station (West Footscray),-37.801803,144.883985
452,Prahran Railway Station (Prahran),-37.849518,144.98986
453,Richmond Railway Station (Richmond),-37.824074,144.990164
