,id,latitude,longitude,STOP_NAME,LATITUDE,LONGITUDE,station_distance
221,1624962,-37.87391824,144.9829392,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.1
222,1626393,-37.88449133,144.9829611,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237,1.4
223,1641871,-37.85954072,144.9779454,Windsor Railway Station (Windsor),-37.856053,144.992035,1.3
224,1646891,-37.82489602,144.961644,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.9
225,1652186,-37.81624737,144.9688052,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.3
226,1656742,-37.83163259,144.9464084,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411,1.6
227,1662899,-37.82559418,144.9444911,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411,1.0
228,1669526,-37.82147205,144.95522480000002,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411,0.5
229,1674688,-37.84263322,145.0000629,Hawksburn Railway Station (South Yarra),-37.844591,145.002142,0.3
230,1678964,-37.77829543,144.926376,Ascot Vale Railway Station (Ascot Vale),-37.775306,144.921821,0.5
231,1681677,-37.80832719,144.9561157,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654,0.4
232,1684869,-37.81329784,144.9609392,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.4
233,1688748,-37.84209823,144.998227,Hawksburn Railway Station (South Yarra),-37.844591,145.002142,0.4
234,1697412,-37.80771869,144.9671345,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.5
235,1711594,-37.86720729,144.9775761,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.4
236,1715090,-37.82286133,144.9923523,Richmond Railway Station (Richmond),-37.824074,144.990164,0.2
237,1718295,-37.83574831,144.9932496,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.3
238,1722074,-37.83815897,144.9970498,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.4
239,1725821,-37.74930415,144.9651481,Moreland Railway Station (Coburg),-37.754485,144.961823,0.6
240,1732959,-37.77656487,144.9671199,Jewell Railway Station (Brunswick),-37.774987,144.958717,0.8
241,1733049,-37.82248173,144.96582030000005,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.5
242,1739234,-37.80890189,144.9656476,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.3
243,1742705,-37.83970043,144.9937169,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.2
244,1747852,-37.8082064,144.9662286,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.4
245,1752177,-37.80984785,144.9706375,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.2
246,1756027,-37.80836049,144.9828573,North Richmond Railway Station (Richmond),-37.810398,144.9925,0.9
247,1760258,-37.82852261,144.95878000000005,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411,1.3
248,1763507,-37.84100775,144.9877758,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.5
249,1774105,-37.83719047,144.9961264,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.4
250,1774260,-37.8703223,144.98108059999996,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.1
251,1778493,-37.81694524,144.9765695,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098,0.7
252,1779098,-37.76512134,144.9933227,Croxton Railway Station (Northcote),-37.764101,144.997056,0.3
253,1798355,-37.80585509,144.967961,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.7
254,1803184,-37.73586934,145.05436699999996,Rosanna Railway Station (Rosanna),-37.742879,145.06614,1.3
255,1803259,-37.7349601,144.93312360000004,Pascoe Vale Railway Station (Pascoe Vale),-37.730756,144.928196,0.6
256,1803441,-37.80799753,144.95995530000005,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.3
257,1807191,-37.86907487,144.9790428,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.3
258,1815508,-37.82218291,145.000361,East Richmond Railway Station (Richmond),-37.8264,144.997066,0.6
259,1822923,-37.81986034,145.00052380000002,East Richmond Railway Station (Richmond),-37.8264,144.997066,0.8
260,1827624,-37.84752425,144.96268510000004,Prahran Railway Station (Prahran),-37.849518,144.98986,2.4
261,1832876,-37.81464519,144.9671609,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.4
262,1833332,-37.80789857,144.96755890000003,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.5
263,1833368,-37.82682308,144.95940090000005,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,1.2
264,1833663,-37.81105713,144.9570249,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654,0.2
265,1847426,-37.81083885,144.96860969999997,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.4
266,1861584,-37.8282865,144.99425390000005,East Richmond Railway Station (Richmond),-37.8264,144.997066,0.3
267,1863200,-37.81436196,144.952727,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654,0.4
268,1877569,-37.86650919,144.9833629,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.0
